2016-09-25	22.41	14.92	42.77	63.41	-36.26	-16.55
2016-10-18	22.39	9.22	26.72	68.81	-52.32	-15.56
2016-11-08	22.38	-1.79	14	89.64	-65.03	-19.06
2016-09-05	22.37	16.12	40.58	58.83	-38.45	-20.69
2016-11-15	22.36	8.24	19.56	94	-59.47	8.39
2016-10-29	22.34	7.14	21.47	43.69	-57.56	-43.47
2016-11-13	22.34	3.76	15.41	95.17	-63.62	1.84
2016-11-07	22.33	-2	14.77	79.8	-64.26	-29.62
2016-11-21	22.32	10.78	24.44	76.27	-54.59	-6.47
2016-12-23	22.32	6.55	18.11	72.24	-60.92	-15.85
2016-09-23	22.25	12.67	37.54	60.41	-41.48	-20.8
2016-10-08	22.25	8.4	28.31	56.25	-50.71	-29.13
2016-10-19	22.23	9.53	29.8	71.52	-49.21	-12.5
2016-10-21	22.15	7.53	24.36	62.39	-54.65	-24.19
2016-10-23	22.12	6.52	22.96	75.43	-56.05	-12.71
2016-10-24	22.11	7.49	26.71	73.79	-52.29	-12.85
2016-12-16	22.11	3.66	14.05	90.97	-64.95	-2.57
2016-10-14	22.1	6.6	24.13	62.85	-54.88	-25.16
2016-09-21	22.08	14.65	34.95	57.44	-44.06	-22.63
2016-10-09	22.07	8.76	30.95	72.97	-48.05	-11.96
2016-10-11	22.05	8.78	27.25	63.58	-51.75	-21.32
2016-10-03	21.99	10.25	31.04	57.17	-47.96	-26.09
2016-10-20	21.91	8.86	26.53	61.03	-52.46	-23.78
2016-12-22	21.89	7	17.14	75.86	-61.85	-11.5
2016-10-13	21.86	7.22	23.58	61.79	-55.41	-25.26
2016-10-27	21.82	8.95	25.89	78.04	-53.09	-6.66
2016-11-30	21.82	3.19	14.19	68.72	-64.8	-25.87
2016-09-22	21.78	13.77	37.18	62.39	-41.8	-18.13
2016-12-15	21.75	0.98	14	88.05	-64.98	-12.11
2016-10-28	21.74	10.37	29.25	65.17	-49.73	-17.96
2016-12-01	21.73	0.5	14	60.9	-64.98	-40.59
2016-12-17	21.7	3.97	14	83.68	-64.97	-9.21
2016-09-29	21.48	14.32	46.97	72.54	-31.99	-7.69
2016-12-02	21.47	0.31	14	68.88	-64.96	-33.16
2016-12-19	21.45	5.48	15.07	83.85	-63.88	-6.08
2016-12-06	21.42	-0.11	14	65.42	-64.96	-37.85
2016-12-05	21.37	5.04	14.08	59.77	-64.87	-30.97
2017-01-10	21.36	3.8	18	95	-60.95	1.75
2016-12-07	21.35	1.85	14	71.64	-64.95	-26.18
2016-12-04	21.16	1.14	14	77.23	-64.94	-22.46
2016-12-09	21.13	6.59	21.58	65.23	-57.36	-22.8
2016-09-24	21.08	14.26	40.66	64.61	-38.28	-15.65
2016-12-10	21.07	2.21	15.07	76.55	-63.86	-20.36
2016-12-18	20.99	4.99	14.02	87.12	-64.92	-3.72
2016-12-03	20.95	-1.39	14	71.79	-64.93	-35.55
2016-12-08	20.06	8.08	23.22	86.02	-55.7	0.21
